cust_name , cust_ratings , cust_review 
Flipkart Customer, 5, Really satisfied with the Product I received... It’s totally genuine and the packaging was also really good so if ur planning to buy just go for it.,
Flipkart Customer, 5, Amazing phone with great cameras and better battery which gives you the best performance. I just love the camera .,
Manish Raghuvanshi, 5, Great iPhone very snappy experience as apple kind. Upgraded from iPhone 7. Pros-Camera top class - Battery top performed -Chipset no need to say as apple kind -Security as you expect from apple - Display super bright industry leading colour   accuracy and super responsive -Build quality as expect from apple sturdy  premium durable beautiful stylish. -Os most stable os in smartphone industry Cons -No 5G-Display is not based on OLED technology -Charger headphones and 1 apple stic...,
Vamshi  Chakrala , 5, Previously I was using one plus 3t it was a great phone And then I decided to upgrade I am stuck between Samsung s10 plus or iPhone 11 I have seen the specs and everything were good except the display it’s somewhere between 720-1080 and it’s not even an amoled it’s an LCD display But I decided to go with iPhone because I have never used an IOS device I have Been an android user from the past 9 years I ordered IPhone 11 (128gb) product redMy experience after using 3 weeks 1. The delivery ...,
Vishal Dubey, 5, What a camera .....just awesome ..you can feel this iPhone just awesome . Good for gaming also ...try pubg in hd it’s just wow,
Naveen Boopathi, 5, This is my first iOS phone. I am very happy with this product. Very much satisfied with this. I love this phone.,
Rahul Verma, 5, Amazing Powerful and Durable Gadget.I’m am very happy with the camera picture quality, Amazing face id unlocked in dark room, Strong battery with perfect screen size as you can carry easily in pocket. This is my third iPhone. I shifted from android Samsung Note series to iPhone because of the strong build quality and peace of mind for next 3-4 years.Don’t think to much just go for it and I suggest you to go for minimum 128gb variant or more 256gb. I’ve attached my puppy pics and no fi...,
Flipkart Customer, 5, i11 is worthy to buy, too much happy with the product. Thank u flipkart I received the item on time..loved it..,
Jimly  Gogoi, 5, ,
Bharat Sv, 4, So far it’s been an AMAZING experience coming back to iOS after nearly a decade but it’s not as versatile as android though phone is sturdy dropped it accidentally a couple of times and nothing happened fortunately camera is awesome,
,
,
,
,
,
,
,
,
,
,
